Player,Tkl,Dribbles.Tkl,Pressures %,Blocks,Clr,Country,Year,Comp
Javier Mascherano,9,2,40.7,2,4,Argentina,2018, FIFA World Cup
Lionel Messi,4,0,33.3,5,0,Argentina,2018, FIFA World Cup
Nicolas Otamendi,10,2,61.8,6,11,Argentina,2018, FIFA World Cup
Nicolas Tagliafico,6,1,26.2,5,3,Argentina,2018, FIFA World Cup
Gabriel Mercado,4,4,38.9,6,2,Argentina,2018, FIFA World Cup
Angel Di Maria,1,0,25.9,1,0,Argentina,2018, FIFA World Cup
Marcos Rojo,1,0,33.3,1,7,Argentina,2018, FIFA World Cup
Enzo Perez,2,1,25.6,2,0,Argentina,2018, FIFA World Cup
Ever Banega,7,3,18.2,1,1,Argentina,2018, FIFA World Cup
Maximiliano Meza,3,1,31.3,2,1,Argentina,2018, FIFA World Cup
Franco Armani,0,0,,0,0,Argentina,2018, FIFA World Cup
Willy Caballero,0,0,50.0,0,0,Argentina,2018, FIFA World Cup
Sergio Aguero,4,1,44.4,2,0,Argentina,2018, FIFA World Cup
Eduardo Salvio,2,0,21.1,6,4,Argentina,2018, FIFA World Cup
Cristian Pavon,2,1,33.3,1,0,Argentina,2018, FIFA World Cup
Aziz Behich,5,1,18.8,5,3,Australia,2018, FIFA World Cup
Mile Jedinak,6,0,29.1,7,1,Australia,2018, FIFA World Cup
Mathew Leckie,1,0,27.4,11,6,Australia,2018, FIFA World Cup
Mark Milligan,7,5,15.4,2,8,Australia,2018, FIFA World Cup
Aaron Mooy,5,1,30.6,6,7,Australia,2018, FIFA World Cup
Josh Risdon,12,5,22.2,6,5,Australia,2018, FIFA World Cup
Mathew Ryan,0,0,0.0,0,0,Australia,2018, FIFA World Cup
Trent Sainsbury,3,1,28.0,6,13,Australia,2018, FIFA World Cup
Tom Rogic,0,0,35.6,1,1,Australia,2018, FIFA World Cup
Robbie Kruse,6,1,23.9,4,0,Australia,2018, FIFA World Cup
Andrew Nabbout,0,0,25.0,0,0,Australia,2018, FIFA World Cup
Tomi Juric,0,0,6.3,1,1,Australia,2018, FIFA World Cup
Daniel Arzani,0,0,18.8,1,0,Australia,2018, FIFA World Cup
Jackson Irvine,3,0,20.0,2,0,Australia,2018, FIFA World Cup
Tim Cahill,0,0,10.0,0,0,Australia,2018, FIFA World Cup
Thibaut Courtois,0,0,,0,2,Belgium,2018, FIFA World Cup
Toby Alderweireld,5,4,19.1,11,18,Belgium,2018, FIFA World Cup
Kevin De Bruyne,7,2,21.6,3,5,Belgium,2018, FIFA World Cup
Jan Vertonghen,11,6,14.5,6,17,Belgium,2018, FIFA World Cup
Axel Witsel,10,4,23.0,11,3,Belgium,2018, FIFA World Cup
Eden Hazard,4,2,24.2,5,1,Belgium,2018, FIFA World Cup
Romelu Lukaku,1,0,6.5,0,1,Belgium,2018, FIFA World Cup
Thomas Meunier,5,1,19.1,4,5,Belgium,2018, FIFA World Cup
Vincent Kompany,6,1,26.1,5,23,Belgium,2018, FIFA World Cup
Nacer Chadli,4,1,20.9,4,8,Belgium,2018, FIFA World Cup
Marouane Fellaini,11,1,15.6,9,6,Belgium,2018, FIFA World Cup
Dries Mertens,2,1,14.2,2,0,Belgium,2018, FIFA World Cup
Dedryck Boyata,1,0,41.2,4,13,Belgium,2018, FIFA World Cup
Yannick Carrasco,4,2,29.1,5,1,Belgium,2018, FIFA World Cup
Mousa Dembele,6,3,19.4,6,3,Belgium,2018, FIFA World Cup
Alisson,0,0,,0,0,Brazil,2018, FIFA World Cup
Miranda,9,4,27.5,8,18,Brazil,2018, FIFA World Cup
Neymar,6,1,23.6,2,0,Brazil,2018, FIFA World Cup
Thiago Silva,3,0,23.5,6,20,Brazil,2018, FIFA World Cup
Philippe Coutinho,5,2,22.7,6,0,Brazil,2018, FIFA World Cup
Gabriel Jesus,7,0,19.7,7,4,Brazil,2018, FIFA World Cup
Willian,3,1,22.1,8,1,Brazil,2018, FIFA World Cup
Paulinho,7,1,28.8,5,0,Brazil,2018, FIFA World Cup
Fagner,12,2,19.0,11,4,Brazil,2018, FIFA World Cup
Casemiro,15,5,41.5,9,11,Brazil,2018, FIFA World Cup
Marcelo,4,3,32.6,15,3,Brazil,2018, FIFA World Cup
Filipe Luis,6,2,27.8,5,2,Brazil,2018, FIFA World Cup
Fernandinho,1,1,34.1,4,2,Brazil,2018, FIFA World Cup
Danilo,2,2,26.3,0,1,Brazil,2018, FIFA World Cup
Roberto Firmino,5,1,29.3,4,0,Brazil,2018, FIFA World Cup
Johan Mojica,6,0,32.4,6,4,Colombia,2018, FIFA World Cup
David Ospina,0,0,,0,0,Colombia,2018, FIFA World Cup
Davinson Sanchez,4,1,44.4,7,15,Colombia,2018, FIFA World Cup
Santiago Arias,5,3,29.2,7,8,Colombia,2018, FIFA World Cup
Radamel Falcao,3,0,22.3,2,4,Colombia,2018, FIFA World Cup
Juan Cuadrado,1,1,17.0,4,5,Colombia,2018, FIFA World Cup
Juan Quintero,2,0,18.2,1,1,Colombia,2018, FIFA World Cup
Yerry Mina,7,4,43.8,6,17,Colombia,2018, FIFA World Cup
Carlos Sanchez,4,1,24.0,1,1,Colombia,2018, FIFA World Cup
Wilmar Barrios,11,3,29.0,6,7,Colombia,2018, FIFA World Cup
Jefferson Lerma,1,1,8.5,3,3,Colombia,2018, FIFA World Cup
James Rodriguez,4,1,14.3,3,0,Colombia,2018, FIFA World Cup
Mateus Uribe,6,3,13.5,6,2,Colombia,2018, FIFA World Cup
Oscar Murillo,0,0,33.3,1,4,Colombia,2018, FIFA World Cup
Jose Izquierdo,1,1,30.8,0,0,Colombia,2018, FIFA World Cup
Johnny Acosta,3,1,19.2,5,5,Costa,2018, FIFA World Cup
Celso Borges,4,1,18.2,3,6,Costa,2018, FIFA World Cup
Giancarlo Gonzalez,2,1,40.0,10,14,Costa,2018, FIFA World Cup
Keylor Navas,0,0,,0,0,Costa,2018, FIFA World Cup
Bryan Ruiz,2,0,16.7,8,1,Costa,2018, FIFA World Cup
