Player,Min,CS%,PKsv,PKm,Country,Year,Comp
Filip De Wilde,270.0,0.0,0.0,0.0,Belgium,2000, UEFA Euro
Jiang Jin,540.0,33.3,0.0,0.0,China,2000, Asian Cup
Pavel Srnicek,270.0,33.3,0.0,0.0,Czech,2000, UEFA Euro
Peter Schmeichel,270.0,0.0,0.0,0.0,Denmark,2000, UEFA Euro
David Seaman,180.0,50.0,0.0,0.0,England,2000, UEFA Euro
Fabien Barthez,510.0,20.0,0.0,0.0,France,2000, UEFA Euro
Oliver Kahn,270.0,0.0,0.0,0.0,Germany,2000, UEFA Euro
Hendro Kartiko,180.0,50.0,0.0,0.0,Indonesia,2000, Asian Cup
Parviz Boroumand,390.0,50.0,0.0,0.0,Iran,2000, Asian Cup
Hashim Khamees,270.0,33.3,0.0,0.0,Iraq,2000, Asian Cup
Francesco Toldo,600.0,50.0,0.0,0.0,Italy,2000, UEFA Euro
Yoshikatsu Kawaguchi,450.0,20.0,0.0,0.0,Japan,2000, Asian Cup
Lee Woon-jae,480.0,40.0,0.0,0.0,Korea,2000, Asian Cup
Falah Al Majidi,390.0,75.0,0.0,0.0,Kuwait,2000, Asian Cup
Ahmad Sakr,180.0,0.0,0.0,0.0,Lebanon,2000, Asian Cup
Edwin van der Sar,364.0,75.0,0.0,0.0,Netherlands,2000, UEFA Euro
Thomas Myhre,270.0,66.7,0.0,0.0,Norway,2000, UEFA Euro
Vitor Baia,390.0,50.0,0.0,0.0,Portugal,2000, UEFA Euro
Hussain Al Romaihi,198.0,50.0,0.0,0.0,Qatar,2000, Asian Cup
Bogdan Stelea,360.0,0.0,0.0,0.0,Romania,2000, UEFA Euro
Mohamed Al-Deayea,570.0,33.3,0.0,0.0,Saudi,2000, Asian Cup
Ivica Kralj,360.0,25.0,0.0,0.0,Serbia,2000, UEFA Euro
Mladen Dabanovic,270.0,33.3,0.0,0.0,Slovenia,2000, UEFA Euro
Santiago Canizares,270.0,0.0,0.0,0.0,Spain,2000, UEFA Euro
Magnus Hedman,270.0,33.3,0.0,0.0,Sweden,2000, UEFA Euro
Pansa Meesatham,90.0,0.0,0.0,0.0,Thailand,2000, Asian Cup
Rustu Recber,360.0,50.0,0.0,0.0,Turkey,2000, UEFA Euro
Pavel Bugalo,270.0,0.0,0.0,1.0,Uzbekistan,2000, Asian Cup
Mark Schwarzer,450.0,60.0,0.0,0.0,Australia,2001, FIFA Confederations Cup
Dida,450.0,60.0,0.0,0.0,Brazil,2001, FIFA Confederations Cup
Alioum Boukar,180.0,0.0,0.0,0.0,Cameroon,2001, FIFA Confederations Cup
Craig Forrest,270.0,33.3,0.0,0.0,Canada,2001, FIFA Confederations Cup
Ulrich Rame,270.0,66.7,0.0,0.0,France,2001, FIFA Confederations Cup
Yoshikatsu Kawaguchi,360.0,75.0,0.0,0.0,Japan,2001, FIFA Confederations Cup
Lee Woon-jae,270.0,33.3,0.0,0.0,Korea,2001, FIFA Confederations Cup
Oswaldo Sanchez,270.0,0.0,0.0,0.0,Mexico,2001, FIFA Confederations Cup
Kelvin Liddie,,,,,Anguilla,2002, WCQ — CONCACAF (M)
Janiel Simon,540.0,16.7,0.0,0.0,Antigua,2002, WCQ — CONCACAF (M)
Pablo Cavallero,270.0,33.3,0.0,0.0,Argentina,2002, FIFA World Cup
Ryan Tromp,360.0,0.0,0.0,0.0,Aruba,2002, WCQ — CONCACAF (M)
Harvey Mullings,315.0,0.0,0.0,0.0,Bahamas,2002, WCQ — CONCACAF (M)
Horace Stoute,"1,123",8.3,0.0,0.0,Barbados,2002, WCQ — CONCACAF (M)
Geert De Vlieger,360,0.0,0.0,0.0,Belgium,2002, FIFA World Cup
Shane Orio,270,33.3,0.0,0.0,Belize,2002, WCQ — CONCACAF (M)
Dwayne Adams,360,50.0,0.0,0.0,Bermuda,2002, WCQ — CONCACAF (M)
Marcos,630,57.1,0.0,0.0,Brazil,2002, FIFA World Cup
Desire Montgomery Butler,180,0.0,0.0,0.0,British,2002, WCQ — CONCACAF (M)
Alioum Boukar,270,33.3,0.0,0.0,Cameroon,2002, FIFA World Cup
Pat Onstad,630.0,57.1,0.0,0.0,Canada,2002, WCQ — CONCACAF (M)
Alfredo Whittaker,180,50.0,0.0,0.0,Cayman,2002, WCQ — CONCACAF (M)
Jiang Jin,270,0.0,0.0,0.0,China,2002, FIFA World Cup
Erick Lonnis,270,33.3,0.0,0.0,Costa,2002, FIFA World Cup
Stipe Pletikosa,270,0.0,0.0,0.0,Croatia,2002, FIFA World Cup
Odelin Molina,750,62.5,0.0,0.0,Cuba,2002, WCQ — CONCACAF (M)
Marcello Pisas,176,0.0,0.0,0.0,Curaçao,2002, WCQ — CONCACAF (M)
Thomas Srensen,360,25.0,0.0,0.0,Denmark,2002, FIFA World Cup
Oscar Mejia,180,0.0,0.0,0.0,Dominican,2002, WCQ — CONCACAF (M)
Simon Anthony,180,0.0,0.0,0.0,Dominica,2002, WCQ — CONCACAF (M)
Jose Francisco Cevallos,270,33.3,0.0,0.0,Ecuador,2002, FIFA World Cup
