Player,Cmp,Att,Cmp%,TotDist,Country,Year,Comp
Javier Mascherano,311,348,89.4,7176,Argentina,2018, FIFA World Cup
Lionel Messi,163,202,80.7,2616,Argentina,2018, FIFA World Cup
Nicolas Otamendi,253,296,85.5,5526,Argentina,2018, FIFA World Cup
Nicolas Tagliafico,199,234,85.0,3306,Argentina,2018, FIFA World Cup
Gabriel Mercado,158,185,85.4,2382,Argentina,2018, FIFA World Cup
Angel Di Maria,60,88,68.2,1076,Argentina,2018, FIFA World Cup
Marcos Rojo,142,162,87.7,2384,Argentina,2018, FIFA World Cup
Enzo Perez,105,114,92.1,1723,Argentina,2018, FIFA World Cup
Ever Banega,180,211,85.3,3635,Argentina,2018, FIFA World Cup
Maximiliano Meza,91,116,78.4,1443,Argentina,2018, FIFA World Cup
Franco Armani,26,41,63.4,792,Argentina,2018, FIFA World Cup
Willy Caballero,31,51,60.8,719,Argentina,2018, FIFA World Cup
Sergio Aguero,49,63,77.8,636,Argentina,2018, FIFA World Cup
Eduardo Salvio,85,105,81.0,1430,Argentina,2018, FIFA World Cup
Cristian Pavon,46,72,63.9,742,Argentina,2018, FIFA World Cup
Aziz Behich,144,180,80.0,2656,Australia,2018, FIFA World Cup
Mile Jedinak,151,173,87.3,2935,Australia,2018, FIFA World Cup
Mathew Leckie,56,83,67.5,1018,Australia,2018, FIFA World Cup
Mark Milligan,228,249,91.6,4943,Australia,2018, FIFA World Cup
Aaron Mooy,168,206,81.6,3062,Australia,2018, FIFA World Cup
Josh Risdon,113,154,73.4,2146,Australia,2018, FIFA World Cup
Mathew Ryan,95,111,85.6,2655,Australia,2018, FIFA World Cup
Trent Sainsbury,169,191,88.5,3811,Australia,2018, FIFA World Cup
Tom Rogic,53,64,82.8,949,Australia,2018, FIFA World Cup
Robbie Kruse,40,56,71.4,603,Australia,2018, FIFA World Cup
Andrew Nabbout,14,20,70.0,212,Australia,2018, FIFA World Cup
Tomi Juric,9,18,50.0,155,Australia,2018, FIFA World Cup
Daniel Arzani,18,23,78.3,260,Australia,2018, FIFA World Cup
Jackson Irvine,9,15,60.0,150,Australia,2018, FIFA World Cup
Tim Cahill,6,9,66.7,106,Australia,2018, FIFA World Cup
Thibaut Courtois,139,192,72.4,4150,Belgium,2018, FIFA World Cup
Toby Alderweireld,398,446,89.2,8210,Belgium,2018, FIFA World Cup
Kevin De Bruyne,276,350,78.9,5412,Belgium,2018, FIFA World Cup
Jan Vertonghen,299,352,84.9,6394,Belgium,2018, FIFA World Cup
Axel Witsel,306,325,94.2,5122,Belgium,2018, FIFA World Cup
Eden Hazard,217,271,80.1,3823,Belgium,2018, FIFA World Cup
Romelu Lukaku,75,98,76.5,1102,Belgium,2018, FIFA World Cup
Thomas Meunier,189,236,80.1,3531,Belgium,2018, FIFA World Cup
Vincent Kompany,258,277,93.1,5727,Belgium,2018, FIFA World Cup
