Player,Date,Country,Manager1,Min,Gls,PK,CrdY,CrdR,OG
Nadir Belhadj,2010-01-18,Algeria, Rabah Saadane,90.0,0.0,0.0,0.0,0.0,0.0
Hameur Bouazza,2010-01-18,Algeria, Rabah Saadane,66.0,0.0,0.0,0.0,0.0,0.0
   Mourad Meghni,2010-01-18,Algeria, Rabah Saadane,24.0,0.0,0.0,0.0,0.0,0.0
Madjid Bougherra,2010-01-18,Algeria, Rabah Saadane,90.0,0.0,0.0,0.0,0.0,0.0
Faouzi Chaouchi,2010-01-18,Algeria, Rabah Saadane,90.0,0.0,0.0,0.0,0.0,0.0
Abdelkader Ghezzal,2010-01-18,Algeria, Rabah Saadane,90.0,0.0,0.0,0.0,0.0,0.0
Rafik Halliche,2010-01-18,Algeria, Rabah Saadane,90.0,0.0,0.0,0.0,0.0,0.0
Abdelkader Laifaoui,2010-01-18,Algeria, Rabah Saadane,90.0,0.0,0.0,1.0,0.0,0.0
Yazid Mansouri,2010-01-18,Algeria, Rabah Saadane,90.0,0.0,0.0,0.0,0.0,0.0
Karim Matmour,2010-01-18,Algeria, Rabah Saadane,88.0,0.0,0.0,1.0,0.0,0.0
   Djamel Abdoun,2010-01-18,Algeria, Rabah Saadane,2.0,0.0,0.0,0.0,0.0,0.0
Hassan Yebda,2010-01-18,Algeria, Rabah Saadane,90.0,0.0,0.0,0.0,0.0,0.0
Karim Ziani,2010-01-18,Algeria, Rabah Saadane,90.0,0.0,0.0,0.0,0.0,0.0
Nabil Bentaleb,2014-06-17,Algeria, Vahid Halilhodzic,90.0,0.0,0.0,1.0,0.0,0.0
Madjid Bougherra,2014-06-17,Algeria, Vahid Halilhodzic,90.0,0.0,0.0,0.0,0.0,0.0
Sofiane Feghouli,2014-06-17,Algeria, Vahid Halilhodzic,90.0,1.0,1.0,0.0,0.0,0.0
Faouzi Ghoulam,2014-06-17,Algeria, Vahid Halilhodzic,90.0,0.0,0.0,0.0,0.0,0.0
Rafik Halliche,2014-06-17,Algeria, Vahid Halilhodzic,90.0,0.0,0.0,0.0,0.0,0.0
Rais M'Bolhi,2014-06-17,Algeria, Vahid Halilhodzic,90.0,0.0,0.0,0.0,0.0,0.0
Riyad Mahrez,2014-06-17,Algeria, Vahid Halilhodzic,70.0,0.0,0.0,0.0,0.0,0.0
   Mehdi Lacen,2014-06-17,Algeria, Vahid Halilhodzic,20.0,0.0,0.0,0.0,0.0,0.0
Carl Medjani,2014-06-17,Algeria, Vahid Halilhodzic,83.0,0.0,0.0,0.0,0.0,0.0
   Nabil Ghilas,2014-06-17,Algeria, Vahid Halilhodzic,7.0,0.0,0.0,0.0,0.0,0.0
Mehdi Mostefa,2014-06-17,Algeria, Vahid Halilhodzic,90.0,0.0,0.0,0.0,0.0,0.0
Hillel Soudani,2014-06-17,Algeria, Vahid Halilhodzic,65.0,0.0,0.0,0.0,0.0,0.0
   Islam Slimani,2014-06-17,Algeria, Vahid Halilhodzic,25.0,0.0,0.0,0.0,0.0,0.0
Saphir Taider,2014-06-17,Algeria, Vahid Halilhodzic,90.0,0.0,0.0,0.0,0.0,0.0
Nabil Bentaleb,2014-06-17,Algeria, Vahid Halilhodzic,90.0,0.0,0.0,1.0,0.0,0.0
Madjid Bougherra,2014-06-17,Algeria, Vahid Halilhodzic,90.0,0.0,0.0,0.0,0.0,0.0
Sofiane Feghouli,2014-06-17,Algeria, Vahid Halilhodzic,90.0,1.0,1.0,0.0,0.0,0.0
