Date,Country,Official,Player,Min,Gls,PK,CrdY,CrdR,OG
2010-01-18,Algeria,Jerome Damon,Nadir Belhadj,90.0,0.0,0.0,0.0,0.0,0.0
2010-01-18,Algeria,Jerome Damon,Hameur Bouazza,66.0,0.0,0.0,0.0,0.0,0.0
2010-01-18,Algeria,Jerome Damon,   Mourad Meghni,24.0,0.0,0.0,0.0,0.0,0.0
2010-01-18,Algeria,Jerome Damon,Madjid Bougherra,90.0,0.0,0.0,0.0,0.0,0.0
2010-01-18,Algeria,Jerome Damon,Faouzi Chaouchi,90.0,0.0,0.0,0.0,0.0,0.0
2010-01-18,Algeria,Jerome Damon,Abdelkader Ghezzal,90.0,0.0,0.0,0.0,0.0,0.0
2010-01-18,Algeria,Jerome Damon,Rafik Halliche,90.0,0.0,0.0,0.0,0.0,0.0
2010-01-18,Algeria,Jerome Damon,Abdelkader Laifaoui,90.0,0.0,0.0,1.0,0.0,0.0
2010-01-18,Algeria,Jerome Damon,Yazid Mansouri,90.0,0.0,0.0,0.0,0.0,0.0
2010-01-18,Algeria,Jerome Damon,Karim Matmour,88.0,0.0,0.0,1.0,0.0,0.0
2010-01-18,Algeria,Jerome Damon,   Djamel Abdoun,2.0,0.0,0.0,0.0,0.0,0.0
2010-01-18,Algeria,Jerome Damon,Hassan Yebda,90.0,0.0,0.0,0.0,0.0,0.0
2010-01-18,Algeria,Jerome Damon,Karim Ziani,90.0,0.0,0.0,0.0,0.0,0.0
2014-06-17,Algeria,Marcos Quintero,Nabil Bentaleb,90.0,0.0,0.0,1.0,0.0,0.0
2014-06-17,Algeria,Marcos Quintero,Madjid Bougherra,90.0,0.0,0.0,0.0,0.0,0.0
2014-06-17,Algeria,Marcos Quintero,Sofiane Feghouli,90.0,1.0,1.0,0.0,0.0,0.0
2014-06-17,Algeria,Marcos Quintero,Faouzi Ghoulam,90.0,0.0,0.0,0.0,0.0,0.0
2014-06-17,Algeria,Marcos Quintero,Rafik Halliche,90.0,0.0,0.0,0.0,0.0,0.0
2014-06-17,Algeria,Marcos Quintero,Rais M'Bolhi,90.0,0.0,0.0,0.0,0.0,0.0
2014-06-17,Algeria,Marcos Quintero,Riyad Mahrez,70.0,0.0,0.0,0.0,0.0,0.0
2014-06-17,Algeria,Marcos Quintero,   Mehdi Lacen,20.0,0.0,0.0,0.0,0.0,0.0
2014-06-17,Algeria,Marcos Quintero,Carl Medjani,83.0,0.0,0.0,0.0,0.0,0.0
2014-06-17,Algeria,Marcos Quintero,   Nabil Ghilas,7.0,0.0,0.0,0.0,0.0,0.0
2014-06-17,Algeria,Marcos Quintero,Mehdi Mostefa,90.0,0.0,0.0,0.0,0.0,0.0
2014-06-17,Algeria,Marcos Quintero,Hillel Soudani,65.0,0.0,0.0,0.0,0.0,0.0
2014-06-17,Algeria,Marcos Quintero,   Islam Slimani,25.0,0.0,0.0,0.0,0.0,0.0
2014-06-17,Algeria,Marcos Quintero,Saphir Taider,90.0,0.0,0.0,0.0,0.0,0.0
2014-06-17,Algeria,Marcos Quintero,Nabil Bentaleb,90.0,0.0,0.0,1.0,0.0,0.0
2014-06-17,Algeria,Marcos Quintero,Madjid Bougherra,90.0,0.0,0.0,0.0,0.0,0.0
2014-06-17,Algeria,Marcos Quintero,Sofiane Feghouli,90.0,1.0,1.0,0.0,0.0,0.0
2014-06-17,Algeria,Marcos Quintero,Faouzi Ghoulam,90.0,0.0,0.0,0.0,0.0,0.0
2014-06-17,Algeria,Marcos Quintero,Rafik Halliche,90.0,0.0,0.0,0.0,0.0,0.0
2014-06-17,Algeria,Marcos Quintero,Rais M'Bolhi,90.0,0.0,0.0,0.0,0.0,0.0
2014-06-17,Algeria,Marcos Quintero,Riyad Mahrez,70.0,0.0,0.0,0.0,0.0,0.0
2014-06-17,Algeria,Marcos Quintero,   Mehdi Lacen,20.0,0.0,0.0,0.0,0.0,0.0
2014-06-17,Algeria,Marcos Quintero,Carl Medjani,83.0,0.0,0.0,0.0,0.0,0.0
2014-06-17,Algeria,Marcos Quintero,   Nabil Ghilas,7.0,0.0,0.0,0.0,0.0,0.0
2014-06-17,Algeria,Marcos Quintero,Mehdi Mostefa,90.0,0.0,0.0,0.0,0.0,0.0
2014-06-17,Algeria,Marcos Quintero,Hillel Soudani,65.0,0.0,0.0,0.0,0.0,0.0
2014-06-17,Algeria,Marcos Quintero,   Islam Slimani,25.0,0.0,0.0,0.0,0.0,0.0
2014-06-17,Algeria,Marcos Quintero,Saphir Taider,90.0,0.0,0.0,0.0,0.0,0.0
2010-01-24,Algeria,Eddie Maillet,Nadir Belhadj,120.0,0.0,0.0,0.0,0.0,0.0
2010-01-24,Algeria,Eddie Maillet,Madjid Bougherra,120.0,1.0,0.0,1.0,0.0,0.0
2010-01-24,Algeria,Eddie Maillet,Faouzi Chaouchi,120.0,0.0,0.0,0.0,0.0,0.0
2010-01-24,Algeria,Eddie Maillet,Abdelkader Ghezzal,120.0,0.0,0.0,0.0,0.0,0.0
2010-01-24,Algeria,Eddie Maillet,Rafik Halliche,120.0,0.0,0.0,0.0,0.0,0.0
2010-01-24,Algeria,Eddie Maillet,Yazid Mansouri,120.0,0.0,0.0,0.0,0.0,0.0
2010-01-24,Algeria,Eddie Maillet,Karim Matmour,120.0,1.0,0.0,1.0,0.0,0.0
2010-01-24,Algeria,Eddie Maillet,Mourad Meghni,90.0,0.0,0.0,0.0,0.0,0.0
2010-01-24,Algeria,Eddie Maillet,   Hameur Bouazza,30.0,1.0,0.0,0.0,0.0,0.0
2010-01-24,Algeria,Eddie Maillet,Antar Yahia,84.0,0.0,0.0,1.0,0.0,0.0
2010-01-24,Algeria,Eddie Maillet,   Slimane Raho,36.0,0.0,0.0,0.0,0.0,0.0
2010-01-24,Algeria,Eddie Maillet,Hassan Yebda,120.0,0.0,0.0,0.0,0.0,0.0
2010-01-24,Algeria,Eddie Maillet,Karim Ziani,107.0,0.0,0.0,0.0,0.0,0.0
2010-01-24,Algeria,Eddie Maillet,   Djamel Abdoun,13.0,0.0,0.0,0.0,0.0,0.0
2010-01-24,Algeria,Eddie Maillet,Nadir Belhadj,120.0,0.0,0.0,0.0,0.0,0.0
2010-01-24,Algeria,Eddie Maillet,Madjid Bougherra,120.0,1.0,0.0,1.0,0.0,0.0
2010-01-24,Algeria,Eddie Maillet,Faouzi Chaouchi,120.0,0.0,0.0,0.0,0.0,0.0
2010-01-24,Algeria,Eddie Maillet,Abdelkader Ghezzal,120.0,0.0,0.0,0.0,0.0,0.0
2010-01-24,Algeria,Eddie Maillet,Rafik Halliche,120.0,0.0,0.0,0.0,0.0,0.0
2010-01-24,Algeria,Eddie Maillet,Yazid Mansouri,120.0,0.0,0.0,0.0,0.0,0.0
2010-01-24,Algeria,Eddie Maillet,Karim Matmour,120.0,1.0,0.0,1.0,0.0,0.0
2010-01-24,Algeria,Eddie Maillet,Mourad Meghni,90.0,0.0,0.0,0.0,0.0,0.0
2010-01-24,Algeria,Eddie Maillet,   Hameur Bouazza,30.0,1.0,0.0,0.0,0.0,0.0
2010-01-24,Algeria,Eddie Maillet,Antar Yahia,84.0,0.0,0.0,1.0,0.0,0.0
2010-01-24,Algeria,Eddie Maillet,   Slimane Raho,36.0,0.0,0.0,0.0,0.0,0.0
2010-01-24,Algeria,Eddie Maillet,Hassan Yebda,120.0,0.0,0.0,0.0,0.0,0.0
2010-01-24,Algeria,Eddie Maillet,Karim Ziani,107.0,0.0,0.0,0.0,0.0,0.0
2010-01-24,Algeria,Eddie Maillet,   Djamel Abdoun,13.0,0.0,0.0,0.0,0.0,0.0
2010-01-28,Algeria,Coffi Codjia,Nadir Belhadj,69.0,0.0,0.0,0.0,1.0,0.0
2010-01-28,Algeria,Coffi Codjia,Madjid Bougherra,90.0,0.0,0.0,0.0,0.0,0.0
2010-01-28,Algeria,Coffi Codjia,Faouzi Chaouchi,86.0,0.0,0.0,2.0,1.0,0.0
2010-01-28,Algeria,Coffi Codjia,Abdelkader Ghezzal,88.0,0.0,0.0,0.0,0.0,0.0
2010-01-28,Algeria,Coffi Codjia,   Mohamed Lamine Zemmamouche,2.0,0.0,0.0,0.0,0.0,0.0
