Joueur,nationalite,equipe,age,poste,date_naissance,temps_de_jeu,matchs_joues,matchs_debutes,but_marques,but_marques_90,action_menant_but,action_menant_but_90,tirs_cardres_90,tirs_cardres_pourcent,tirs_total,passes_completees,passes_completees_pourcent,interceptions,tirs_blockes,tirs_menant_but_blockes,pressions_recupant_ball_pourcent,pressions,tackles,tackles_reussi,tackle_reussi_pct
Dickson-Abiama,ng NGA,Greuther Fürth,23-012,FW,1998,324.0,9.0,2.0,0.0,0.0,2.0,0.56,0.56,18.2,11.0,37.0,64.9,3.0,2.0,0.0,25.6,82.0,12.0,6.0,46.15384615384615
Ragnar-Ache,de GER,Eint Frankfurt,23-110,"FW,MF",1998,55.0,5.0,0.0,0.0,0.0,1.0,1.64,1.64,16.7,6.0,8.0,50.0,0.0,0.0,0.0,36.8,19.0,0.0,0.0,0.0
Tyler-Adams,us USA,RB Leipzig,22-274,"MF,DF",1999,451.0,7.0,5.0,0.0,0.0,1.0,0.2,0.0,0.0,1.0,234.0,82.1,11.0,1.0,0.0,29.4,109.0,8.0,5.0,55.55555555555556
Sargis-Adamyan,am ARM,Hoffenheim,28-176,"FW,MF",1993,276.0,7.0,2.0,1.0,0.33,1.0,0.33,0.65,100.0,2.0,54.0,70.1,4.0,0.0,0.0,32.8,61.0,14.0,9.0,60.0
Amine-Adli,fr FRA,Leverkusen,21-189,"FW,MF",2000,394.0,9.0,3.0,0.0,0.0,2.0,0.46,0.69,42.9,7.0,113.0,75.3,8.0,2.0,0.0,38.4,73.0,12.0,8.0,61.53846153846154
Manuel-Akanji,ch SUI,Dortmund,26-119,DF,1995,990.0,11.0,11.0,0.0,0.0,0.0,0.0,0.09,12.5,8.0,790.0,91.2,17.0,9.0,0.0,52.0,100.0,23.0,19.0,79.16666666666666
Kevin-Akpoguma,ng NGA,Hoffenheim,26-210,DF,1995,582.0,9.0,7.0,1.0,0.15,2.0,0.31,0.15,20.0,5.0,278.0,77.9,13.0,0.0,0.0,31.4,102.0,12.0,5.0,38.46153846153847
Lucas-Alario,ar ARG,Leverkusen,29-038,FW,1992,145.0,6.0,1.0,0.0,0.0,0.0,0.0,0.62,33.3,3.0,17.0,65.4,0.0,0.0,0.0,33.3,21.0,3.0,3.0,75.0
Nadiem-Amiri,de GER,Leverkusen,25-019,"MF,FW",1996,279.0,9.0,2.0,1.0,0.32,1.0,0.32,0.32,16.7,6.0,138.0,84.7,3.0,1.0,0.0,34.1,44.0,7.0,4.0,50.0
Sebastian-Andersson,se SWE,Köln,30-123,FW,1991,494.0,11.0,5.0,1.0,0.18,2.0,0.36,1.28,31.8,22.0,73.0,76.0,2.0,0.0,0.0,30.8,65.0,5.0,4.0,66.66666666666666
Andres-Andrade-Cedeno,pa PAN,Arminia,23-030,DF,1998,143.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,67.0,79.8,2.0,1.0,0.0,26.1,23.0,1.0,1.0,50.0
Robert-Andrich,de GER,Leverkusen,27-054,MF,1994,371.0,7.0,4.0,2.0,0.49,2.0,0.49,0.73,37.5,8.0,126.0,76.8,14.0,1.0,0.0,40.5,74.0,10.0,8.0,72.72727272727273
Angelino,es ESP,RB Leipzig,24-315,DF,1997,580.0,8.0,7.0,0.0,0.0,1.0,0.16,0.16,20.0,5.0,241.0,67.5,12.0,0.0,0.0,34.5,55.0,9.0,3.0,30.0
