,NomDesClubs,lienClubDetails,logoLinks
0,Besa Kavajë,https://fbref.com/fr/equipes/2fdee617/historique/Stats-et-historique-de-Besa-Kavaje,"""https://d2p3bygnnzw9w3.cloudfront.net/req/202111041/tlogo/fb/2fdee617.png"""
1,FK Kukësi,https://fbref.com/fr/equipes/f1e85b1e/historique/Stats-et-historique-de-FK-Kukesi,"""https://d2p3bygnnzw9w3.cloudfront.net/req/202111041/tlogo/fb/f1e85b1e.png"""
2,FK Partizani Tirana,https://fbref.com/fr/equipes/3ba2fddf/historique/Stats-et-historique-de-FK-Partizani-Tirana,"""https://d2p3bygnnzw9w3.cloudfront.net/req/202111041/tlogo/fb/3ba2fddf.png"""
3,FK Tomori Berat,https://fbref.com/fr/equipes/fc4db0b4/historique/Stats-et-historique-de-FK-Tomori-Berat,"""https://d2p3bygnnzw9w3.cloudfront.net/req/202111041/tlogo/fb/fc4db0b4.png"""
4,Flamurtari Vlorë,https://fbref.com/fr/equipes/3d81ccdb/historique/Stats-et-historique-de-Flamurtari-Vlore,"""https://d2p3bygnnzw9w3.cloudfront.net/req/202111041/tlogo/fb/3d81ccdb.png"""
5,KF Bylis Ballsh,https://fbref.com/fr/equipes/bc8abb97/historique/Stats-et-historique-de-Bylis,"""https://d2p3bygnnzw9w3.cloudfront.net/req/202111041/tlogo/fb/bc8abb97.png"""
6,KF Elbasani,https://fbref.com/fr/equipes/ddab4421/historique/Stats-et-historique-de-KF-Elbasani,"""https://d2p3bygnnzw9w3.cloudfront.net/req/202111041/tlogo/fb/ddab4421.png"""
7,KF Feronikeli,https://fbref.com/fr/equipes/abffa138/historique/Stats-et-historique-de-KF-Feronikeli,"""https://d2p3bygnnzw9w3.cloudfront.net/req/202111041/tlogo/fb/abffa138.png"""
8,KF Laçi,https://fbref.com/fr/equipes/7a40cd8b/historique/Stats-et-historique-de-KF-Laci,"""https://d2p3bygnnzw9w3.cloudfront.net/req/202111041/tlogo/fb/7a40cd8b.png"""
9,KF Skënderbeu Korçë,https://fbref.com/fr/equipes/df526548/historique/Stats-et-historique-de-KF-Skenderbeu-Korce,"""https://d2p3bygnnzw9w3.cloudfront.net/req/202111041/tlogo/fb/df526548.png"""
10,KF Teuta Durrës,https://fbref.com/fr/equipes/2b924bc5/historique/Stats-et-historique-de-KF-Teuta-Durres,"""https://d2p3bygnnzw9w3.cloudfront.net/req/202111041/tlogo/fb/2b924bc5.png"""
11,KF Tirana,https://fbref.com/fr/equipes/83310fa5/historique/Stats-et-historique-de-KF-Tirana,"""https://d2p3bygnnzw9w3.cloudfront.net/req/202111041/tlogo/fb/83310fa5.png"""
12,KF Vllaznia Shkodër,https://fbref.com/fr/equipes/d8deaf72/historique/Stats-et-historique-de-Vllaznia-Shkoder,"""https://d2p3bygnnzw9w3.cloudfront.net/req/202111041/tlogo/fb/d8deaf72.png"""
13,KF Vllaznia Shkodër,https://fbref.com/fr/equipes/e3a68c8b/historique/Stats-et-historique-de-KF-Vllaznia-Shkoder,"""https://d2p3bygnnzw9w3.cloudfront.net/req/202111041/tlogo/fb/e3a68c8b.png"""
14,KS Dinamo Tirana,https://fbref.com/fr/equipes/d1c1d627/historique/Stats-et-historique-de-KS-Dinamo-Tirana,"""https://d2p3bygnnzw9w3.cloudfront.net/req/202111041/tlogo/fb/d1c1d627.png"""
15,Luftëtari Gjirokastër,https://fbref.com/fr/equipes/0e3f0159/historique/Stats-et-historique-de-Luftetari-Gjirokaster,"""https://d2p3bygnnzw9w3.cloudfront.net/req/202111041/tlogo/fb/0e3f0159.png"""
16,CE Principat,https://fbref.com/fr/equipes/38120ffa/historique/Stats-et-historique-de-CE-Principat,"""https://d2p3bygnnzw9w3.cloudfront.net/req/202111041/tlogo/fb/38120ffa.png"""
17,Constel·lació Esportiva,https://fbref.com/fr/equipes/4c7d11b8/historique/Stats-et-historique-de-Constellacio-Esportiva,"""https://d2p3bygnnzw9w3.cloudfront.net/req/202111041/tlogo/fb/4c7d11b8.png"""
18,FC Encamp,https://fbref.com/fr/equipes/70ee5e92/historique/Stats-et-historique-de-FC-Encamp,"""https://d2p3bygnnzw9w3.cloudfront.net/req/202111041/tlogo/fb/70ee5e92.png"""
19,FC Lusitanos,https://fbref.com/fr/equipes/857b60c3/historique/Stats-et-historique-de-FC-Lusitanos,"""https://d2p3bygnnzw9w3.cloudfront.net/req/202111041/tlogo/fb/857b60c3.png"""
20,FC Rànger's,https://fbref.com/fr/equipes/f654070c/historique/Stats-et-historique-de-FC-Rangers,"""https://d2p3bygnnzw9w3.cloudfront.net/req/202111041/tlogo/fb/f654070c.png"""
21,FC Santa Coloma,https://fbref.com/fr/equipes/9549dc95/historique/Stats-et-historique-de-FC-Santa-Coloma,"""https://d2p3bygnnzw9w3.cloudfront.net/req/202111041/tlogo/fb/9549dc95.png"""
22,Inter Club d'Escaldes,https://fbref.com/fr/equipes/fb45dbb9/historique/Stats-et-historique-de-Inter-dEscaldes,"""https://d2p3bygnnzw9w3.cloudfront.net/req/202111041/tlogo/fb/fb45dbb9.png"""
23,UE Engordany,https://fbref.com/fr/equipes/b784c866/historique/Stats-et-historique-de-UE-Engordany,"""https://d2p3bygnnzw9w3.cloudfront.net/req/202111041/tlogo/fb/b784c866.png"""
24,UE Sant Julià,https://fbref.com/fr/equipes/78816dd0/historique/Stats-et-historique-de-UE-Sant-Julia,"""https://d2p3bygnnzw9w3.cloudfront.net/req/202111041/tlogo/fb/78816dd0.png"""
