,NomDesClubs,lienClubDetails,SexeDuClub,divisionDuClub,linkDivisionDetail,DebutSaisonSave,DerniereSaisonSave,NombreDeCompetitionJoue,nombreDePremierePlace
0,Besa Kavajë,https://fbref.com/fr/equipes/2fdee617/historique/Stats-et-historique-de-Besa-Kavaje,H, -- no info -- ,pas de détails ,2007-2008,2010-2011,0,
0,FK Kukësi,https://fbref.com/fr/equipes/f1e85b1e/historique/Stats-et-historique-de-FK-Kukesi,H, -- no info -- ,pas de détails ,2013-2014,2020-2021,0,
0,FK Partizani Tirana,https://fbref.com/fr/equipes/3ba2fddf/historique/Stats-et-historique-de-FK-Partizani-Tirana,H, -- no info -- ,pas de détails ,1990-1991,2021-2022,0,0
0,FK Tomori Berat,https://fbref.com/fr/equipes/fc4db0b4/historique/Stats-et-historique-de-FK-Tomori-Berat,H, -- no info -- ,pas de détails ,2000-2001,2000-2001,0,
0,Flamurtari Vlorë,https://fbref.com/fr/equipes/3d81ccdb/historique/Stats-et-historique-de-Flamurtari-Vlore,H, -- no info -- ,pas de détails ,1991-1992,2014-2015,0,0
0,KF Bylis Ballsh,https://fbref.com/fr/equipes/bc8abb97/historique/Stats-et-historique-de-Bylis,H, -- no info -- ,pas de détails ,1999-2000,1999-2000,0,
0,KF Elbasani,https://fbref.com/fr/equipes/ddab4421/historique/Stats-et-historique-de-KF-Elbasani,H, -- no info -- ,pas de détails ,2005-2006,2006-2007,0,
0,KF Feronikeli,https://fbref.com/fr/equipes/abffa138/historique/Stats-et-historique-de-KF-Feronikeli,H, -- no info -- ,pas de détails ,2019-2020,2019-2020,0,
0,KF Laçi,https://fbref.com/fr/equipes/7a40cd8b/historique/Stats-et-historique-de-KF-Laci,H, -- no info -- ,pas de détails ,2010-2011,2021-2022,0,
0,KF Skënderbeu Korçë,https://fbref.com/fr/equipes/df526548/historique/Stats-et-historique-de-KF-Skenderbeu-Korce,H, -- no info -- ,pas de détails ,2011-2012,2017-2018,0,0
0,KF Teuta Durrës,https://fbref.com/fr/equipes/2b924bc5/historique/Stats-et-historique-de-KF-Teuta-Durres,H, -- no info -- ,pas de détails ,1994-1995,2021-2022,0,
0,KF Tirana,https://fbref.com/fr/equipes/83310fa5/historique/Stats-et-historique-de-KF-Tirana,H, -- no info -- ,pas de détails ,1995-1996,2020-2021,0,
0,KF Vllaznia Shkodër,https://fbref.com/fr/equipes/d8deaf72/historique/Stats-et-historique-de-Vllaznia-Shkoder,F, -- no info -- ,pas de détails ,2014-2015,2021-2022,0,0
0,KF Vllaznia Shkodër,https://fbref.com/fr/equipes/e3a68c8b/historique/Stats-et-historique-de-KF-Vllaznia-Shkoder,H, -- no info -- ,pas de détails ,1991-1992,2021-2022,0,0
0,KS Dinamo Tirana,https://fbref.com/fr/equipes/d1c1d627/historique/Stats-et-historique-de-KS-Dinamo-Tirana,H, -- no info -- ,pas de détails ,1990-1991,2010-2011,0,0
0,Luftëtari Gjirokastër,https://fbref.com/fr/equipes/0e3f0159/historique/Stats-et-historique-de-Luftetari-Gjirokaster,H, -- no info -- ,pas de détails ,2018-2019,2018-2019,0,
0,CE Principat,https://fbref.com/fr/equipes/38120ffa/historique/Stats-et-historique-de-CE-Principat,H, -- no info -- ,pas de détails ,1997-1998,1999-2000,0,
0,Constel·lació Esportiva,https://fbref.com/fr/equipes/4c7d11b8/historique/Stats-et-historique-de-Constellacio-Esportiva,H, -- no info -- ,pas de détails ,2000-2001,2000-2001,0,
0,FC Encamp,https://fbref.com/fr/equipes/70ee5e92/historique/Stats-et-historique-de-FC-Encamp,H, -- no info -- ,pas de détails ,2002-2003,2002-2003,0,
0,FC Lusitanos,https://fbref.com/fr/equipes/857b60c3/historique/Stats-et-historique-de-FC-Lusitanos,H, -- no info -- ,pas de détails ,2010-2011,2016-2017,0,
0,FC Rànger's,https://fbref.com/fr/equipes/f654070c/historique/Stats-et-historique-de-FC-Rangers,H, -- no info -- ,pas de détails ,2006-2007,2007-2008,0,
0,FC Santa Coloma,https://fbref.com/fr/equipes/9549dc95/historique/Stats-et-historique-de-FC-Santa-Coloma,H, -- no info -- ,pas de détails ,2001-2002,2021-2022,0,
0,Inter Club d'Escaldes,https://fbref.com/fr/equipes/fb45dbb9/historique/Stats-et-historique-de-Inter-dEscaldes,H, -- no info -- ,pas de détails ,2020-2021,2021-2022,0,
0,UE Engordany,https://fbref.com/fr/equipes/b784c866/historique/Stats-et-historique-de-UE-Engordany,H, -- no info -- ,pas de détails ,2018-2019,2020-2021,0,
0,UE Sant Julià,https://fbref.com/fr/equipes/78816dd0/historique/Stats-et-historique-de-UE-Sant-Julia,H, -- no info -- ,pas de détails ,2005-2006,2021-2022,0,
0,UE Santa Coloma,https://fbref.com/fr/equipes/84a33cca/historique/Stats-et-historique-de-UE-Santa-Coloma,H, -- no info -- ,pas de détails ,2010-2011,2017-2018,0,
0,Antigua Barracuda FC,https://fbref.com/fr/equipes/19d27917/historique/Stats-et-historique-de-Antigua-Barracuda,H, -- no info -- ,pas de détails ,2011,2013,3,0
0,Aldosivi,https://fbref.com/fr/equipes/e5927bd8/historique/Stats-et-historique-de-Aldosivi,H,Argentine Primera División,https://fbref.com/fr/comps/21/Statistiques-Liga-Profesional-de-Futbol,2015,2021,6,
0,Argentinos Juniors,https://fbref.com/fr/equipes/d01a653b/historique/Stats-et-historique-de-Argentinos-Juniors,H,Argentine Primera División,https://fbref.com/fr/comps/21/Statistiques-Liga-Profesional-de-Futbol,2015,2021,6,0
0,Arsenal de Sarandí,https://fbref.com/fr/equipes/4bee7ba3/historique/Stats-et-historique-de-Arsenal-de-Saafradi,H,Argentine Primera División,https://fbref.com/fr/comps/21/Statistiques-Liga-Profesional-de-Futbol,2014,2021,7,0
0,Atlético de Rafaela,https://fbref.com/fr/equipes/4fae5bbb/historique/Stats-et-historique-de-Atletico-de-Rafaela,H, -- no info -- ,pas de détails ,2014,2016-2017,4,
0,Atlético Tucumán,https://fbref.com/fr/equipes/42a1ab8b/historique/Stats-et-historique-de-Atletico-Tucuman,H,Argentine Primera División,https://fbref.com/fr/comps/21/Statistiques-Liga-Profesional-de-Futbol,2016,2021,6,0
0,Boca Juniors,https://fbref.com/fr/equipes/795ca75e/historique/Stats-et-historique-de-Boca-Juniors,H,Argentine Primera División,https://fbref.com/fr/comps/21/Statistiques-Liga-Profesional-de-Futbol,2014,2021,8,4
0,CA Banfield,https://fbref.com/fr/equipes/06c1606c/historique/Stats-et-historique-de-Banfield,H,Argentine Primera División,https://fbref.com/fr/comps/21/Statistiques-Liga-Profesional-de-Futbol,2014,2021,8,0
0,CA Colón,https://fbref.com/fr/equipes/2d84bb17/historique/Stats-et-historique-de-Colon,H,Argentine Primera División,https://fbref.com/fr/comps/21/Statistiques-Liga-Profesional-de-Futbol,2015,2021,7,0
0,CA Huracán,https://fbref.com/fr/equipes/1d3d37ae/historique/Stats-et-historique-de-Huracan,H,Argentine Primera División,https://fbref.com/fr/comps/21/Statistiques-Liga-Profesional-de-Futbol,2015,2021,7,0
0,CA Independiente,https://fbref.com/fr/equipes/40bb0ce9/historique/Stats-et-historique-de-Independiente,H,Argentine Primera División,https://fbref.com/fr/comps/21/Statistiques-Liga-Profesional-de-Futbol,2014,2021,8,0
0,CA Lanús,https://fbref.com/fr/equipes/11b6dba8/historique/Stats-et-historique-de-Lanus,H,Argentine Primera División,https://fbref.com/fr/comps/21/Statistiques-Liga-Profesional-de-Futbol,2014,2021,8,1
0,CA River Plate,https://fbref.com/fr/equipes/ef99c78c/historique/Stats-et-historique-de-River-Plate,H,Argentine Primera División,https://fbref.com/fr/comps/21/Statistiques-Liga-Profesional-de-Futbol,2014,2021,8,0
0,CA San Lorenzo de Almagro,https://fbref.com/fr/equipes/66da6009/historique/Stats-et-historique-de-San-Lorenzo,H,Argentine Primera División,https://fbref.com/fr/comps/21/Statistiques-Liga-Profesional-de-Futbol,2014,2021,8,0
0,CA Talleres,https://fbref.com/fr/equipes/ceda2145/historique/Stats-et-historique-de-Talleres,H,Argentine Primera División,https://fbref.com/fr/comps/21/Statistiques-Liga-Profesional-de-Futbol,2016-2017,2021,5,0
0,CA Tigre,https://fbref.com/fr/equipes/0e92bf17/historique/Stats-et-historique-de-Tigre,H, -- no info -- ,pas de détails ,2014,2020,6,0
0,CA Vélez Sarsfield,https://fbref.com/fr/equipes/41c139b6/historique/Stats-et-historique-de-Velez-Sarsfield,H,Argentine Primera División,https://fbref.com/fr/comps/21/Statistiques-Liga-Profesional-de-Futbol,2014,2021,8,0
0,Central Córdoba de Santiago del Estero,https://fbref.com/fr/equipes/9aa97c75/historique/Stats-et-historique-de-Central-Cordoba-de-Santiago-del-Estero,H,Argentine Primera División,https://fbref.com/fr/comps/21/Statistiques-Liga-Profesional-de-Futbol,2019-2020,2021,2,
0,Chacarita Juniors,https://fbref.com/fr/equipes/aa68918c/historique/Stats-et-historique-de-Chacarita-Juniors,H, -- no info -- ,pas de détails ,2017-2018,2017-2018,1,
0,Club Atlético Belgrano,https://fbref.com/fr/equipes/7765008b/historique/Stats-et-historique-de-Club-Atletico-Belgrano,H, -- no info -- ,pas de détails ,2014,2018-2019,6,0
0,Club Atlético Nueva Chicago,https://fbref.com/fr/equipes/7a0e4da8/historique/Stats-et-historique-de-Club-Atletico-Nueva-Chicago,H, -- no info -- ,pas de détails ,2015,2015,1,
