,NomDesClubs,Entraineurs
0,Besa Kavajë, Artan Mërxhushi
1,FK Kukësi, Diego Longo
2,FK Partizani Tirana, Ilir Daja
3,Flamurtari Vlorë, Marcello Troisi
4,KF Bylis Ballsh, Veljko Dovedan
5,KF Elbasani, Shkëlqim Lleshanaku
6,KF Laçi, Mirel Josa
7,KF Skënderbeu Korçë, Julian Ahmataj
8,KF Teuta Durrës, Edi Martini
9,KF Tirana, Orges Shehi
10,KF Vllaznia Shkodër, Nikolin Leka
11,KF Vllaznia Shkodër, Thomas Brdarić
12,KS Dinamo Tirana, Bledi Shkëmbi
13,Luftëtari Gjirokastër, Neritan Novi
14,FC Encamp, Carlos Sanchez
15,FC Lusitanos, Joaquim Quim Berto
16,FC Santa Coloma, Albert Jorquera
17,Inter Club d'Escaldes, Fede Bessone
18,UE Engordany, Bahloul Djilali
19,UE Sant Julià, Fernando Ochoaizpur
20,UE Santa Coloma, Boris Antón
21,Aldosivi, Martín Palermo
22,Argentinos Juniors, Gabriel Milito
23,Arsenal de Sarandí, Israel Damonte
24,Atlético de Rafaela, Walter Otta
25,Boca Juniors, Sebastián Battaglia
26,CA Banfield, Diego Dabove
27,CA Colón, Eduardo Domínguez
28,CA Huracán, Frank Kudelka
29,CA Independiente, Julio Falcioni
30,CA Lanús, Luis Zubeldía
31,CA River Plate, Marcelo Gallardo
32,CA San Lorenzo de Almagro, Paolo Montero
33,CA Talleres, Alexander Medina
34,CA Tigre, Diego Hernán Martínez
35,CA Vélez Sarsfield, Mauricio Pellegrino
36,Central Córdoba de Santiago del Estero, Sergio Rondina
37,Chacarita Juniors, Federico Arias
38,Club Atlético Belgrano, Guillermo Farré
39,Club Atlético Nueva Chicago, Walter Marchesi
40,Club Atlético Patronato, Iván Delfino
41,Club Atlético Platense, Leonardo Madelón
42,Club Atlético Sarmiento, Mario Sciacqua
43,Club Atlético Temperley, Fernando Ruiz
44,Crucero del Norte, Sergio Lippi
45,Defensa y Justicia, Sebastián Beccacece
46,Estudiantes de La Plata, Ricardo Zielinsky
47,Gimnasia y Esgrima, Néstor Gorosito
48,Godoy Cruz Antonio Tomba, Diego Flores
49,Newell's Old Boys, Adrián Blas Taffarel
50,Quilmes AC, Facundo Sava
51,Racing Club, Pizzi
52,Rosario Central, Cristian González
53,San Martín de San Juan, Facundo Villalba
54,San Martín de Tucumán, Sergio Gómez
55,Unión de Santa Fe, Gustavo Munúa
56,Alashkert FC, Liana Hayrapetyan
57,Alashkert FC, Milan Milanović
58,FC Ararat Yerevan, Vardan Bichakhchyan
59,FC Ararat-Armenia, Dmitry Gunko
60,FC Hayasa, Artak Adamian
61,FC Noah, Aram Hakobyan
62,FC Pyunik, Eghishe Melikyan
63,FC Shirak, Tigran Davtyan
64,FC Urartu, Arsen Petrosyan
65,Gandzasar Kapan FC, Armen Petrosyan
66,Adelaide United FC, Adrian Stena
67,Adelaide United FC, Carl Veart
68,Brisbane Roar FC, Warren Moon
69,Brisbane Roar FC, Jacob Goodship
70,Canberra United FC, Vicki Linton
71,Central Coast Mariners FC, Alen Stajcic
72,Macarthur FC, Ante Milicic
73,Melbourne City FC, Patrick Kisnorbo
74,Melbourne City FC, Rado Vidošić
75,Melbourne Victory FC, Jeff Hopkins
76,Melbourne Victory FC, Grant Brebner
77,Perth Glory FC, Alexander Epakis
78,Perth Glory FC, Richard Garcia
79,Sydney FC, Steve Corica
80,Sydney FC, Ante Jurić
81,Western Sydney Wanderers FC, Dean Heffernan
82,Western Sydney Wanderers FC, Carl Robinson
83,Western United FC, Marko Rudan
84,FC Admira Wacker Mödling, Andreas Herzog
85,FC Juniors OÖ, Stefan Hirczy
86,FC Red Bull Salzburg, Matthias Jaissle
87,FC Wacker Innsbruck, Masaki Morass
88,FK Austria Wien, Manfred Schmid
89,Grazer AK, Gernot Plassnegger
90,Kapfenberger SV, Abdulah Ibraković
91,LASK, Andreas Wieland
92,SC Rheindorf Altach, Damir Canadi
93,SC Wiener Neustadt, Oliver Oberhammer
94,SK Austria Klagenfurt, Peter Pacult
95,SK Sturm Graz, Christian Lang
96,SK Sturm Graz, Christian Ilzer
97,SKN St. Pölten, Mag. Stephan Helm
98,SKN St. Pölten Frauen, Tanja Schulte
99,SV Grödig, Heimo Pfeifenberger
100,SV Neulengbach, Peter Herglotz
101,SV Ried, Andreas Heraf
102,TSV Hartberg, Kurt Russ
103,USC Landhaus Wien, Andreas Radakovits
104,Wolfsberger AC, Robin Dutt
105,WSG Swarovski Tirol, Thomas Silberberger
106,Gabala FK, Elmar Baxşıyev
107,Kapaz PFK, Yaşar Vahabzadə
108,Keşla FK, Sənan Qurbanov
109,Neftchi PFK, Samir Abasov
110,Qarabağ FK, Qurban Qurbanov
111,Sabail FK, Vugar Mammadov
112,Shuvalan FK, Aqil Nəbiyev
113,Sumgayit FK, Aykhan Abbasov
114,Turan IK, İlham Yadullayev
115,Zira FK, Rəşad Fərhad Sadıqov
116,FC BATE Borisov, Vitaliy Zhukovskiy
117,FC Belshina Bobruisk, Vitaliy Pavlov
118,FC Dinamo Brest, Sergey Kovalchuk
119,FC Dinamo Minsk, Artsyom Chelyadzinski
120,FC Minsk, Fedor Shcherbachenko
121,FC Minsk, Andrei Pyshnik
122,FC Naftan Novopolotsk, Valery Strypeykis
123,FC Neman Grodno, Igor Kovalevich
124,FC Shakhtyor Soligorsk, Syarhey Hurenka
125,FC Slavia-Mozyr, Mikhail Martinovich
126,FC Torpedo-BelAZ Zhodino, Yury Puntus
127,FC Vitebsk, Evgeni Chernukhin
128,FK Dynamo-BDU Minsk, Yuri Maleev
129,AFC Tubize, Tibor Balog
130,AS Verbroedering Geel, Bart Janssens
131,Cercle Brugge KSV, Yves Vanderhaeghe
132,Club Brugge KV, Philippe Clement
133,Excel Mouscron, José Jeunechamps
134,FCV Dender EH, Regi Van Acker
135,KAA Gent, Hein Vanhaezebrouck
136,KAS Eupen, Stefan Krämer
137,KFC Dessel Sport, Benny Lunenburg
138,KFC Vigor Wuitens Hamme, Kim Verstraeten
139,KFCO Beerschot Wilrijk, Javier Torrente
140,KMSK Deinze, Wim De Decker
141,KRC Genk, John van den Brom
142,KRC Mechelen, Dave De Herdt
143,KSK Heist, Stéphane Demets
144,KV Kortrijk, Karim Belhocine
145,KV Mechelen, Wouter Vrancken
146,KV Oostende, Alexander Blessin
147,KV Woluwe-Zaventem, Henri Depireux
148,KVC Westerlo, Jonas De Roeck
149,Lierse Kempenzonen, Tom Van Imschoot
150,Lommel SK, Peter van der Veen
151,OH Leuven, Marc Brys
152,R. Charleroi SC, Edward Still
153,R.E. Virton, Christophe Grégoire
154,R.F.C. Seraing, Jordi Condom
155,RAA Louviéroise, Frédéric Taquin
156,Royal Antwerp FC, Brian Priske
157,Royale Union SG, Felice Mazzù
158,RSC Anderlecht, Vincent Kompany
159,RSC Anderlecht, Johan Walem
160,RWD Molenbeek, Vincent Euvrard
161,SC Eendracht Aalst, Bart Van Renterghem
162,Sint-Truidense V.V., Bernd Hollerbach
163,Standard Fémina de Liège, Stéphane Guidi
164,Standard Liège, Luka Elsner
165,SV Zulte Waregem, Francky Dury
166,Waasland-Beveren, Marc Schneider
167,Avilés Industrial FC, Marc Schneider
168,CA Bermejo, Marc Schneider
169,CA Nacional Potosí, Alberto Illanes
170,CD Guabirá, Victor Antelo
171,CD Jorge Wilstermann, Mauricio Soria
172,CD Oriente Petrolero, Erwin Sánchez
173,CD Real Tomayapo, Álvaro Peña
174,CD Universitario del Beni, Álvaro Peña
175,CD Universitario San Francisco Xavier, Adrián Romero
176,Club Always Ready, Omar Asad
177,Club Atlético Palmaflor, Víctor Andrada
178,Club Aurora, Humberto Viviani
179,Club Blooming, Hernan Meske
180,Club Bolívar, Antônio Carlos
181,Club Destroyers, Victor Antelo
182,Club Independiente Petrolero, Juan Robledo
183,Club Real Potosí, Sebastián Núñez
184,Club San José, Oscar Flores
185,Club Sport Boys Warnes, Mauro Blanco
186,Club The Strongest, Cristian Díaz
187,Real Santa Cruz, Néstor Clausen
188,Royal Parí FC, Miguel Portugal
189,FK Borac Banja Luka, Nemanja Miljanovic
190,FK Leotar, Branislav Krunić
191,FK Olimpic, Slavko Petrović
192,FK Radnik Bijeljina, Vlado Jagodić
193,FK Sarajevo, Goran Sablić
194,FK Sloboda Tuzla, Mladen Žižovic
195,FK Velež Mostar, Feđa Dudić
196,FK Željezničar Sarajevo, Tomislav Ivković
197,HŠK Zrinjski Mostar, Sergej Jakirović
198,NK Široki Brijeg, Toni Karačić
199,SFK 2000 Sarajevo, Samira Hurem
200,ABC FC, Moacir Júnior
201,América FC (MG), Marquinhos Santos
202,América FC (RN), Evaristo Piza
203,Associação Atlética Ponte Preta, Gilson Kleina
204,Associação Desportiva Confiança, Luizinho Lopes
205,Associação Portuguesa de Desportos, Fernando Marchiori
206,Atlético Clube Goianiense, Eduardo Barroca
207,Avaí FC, Claudinei Oliveira
208,Boa Esporte Clube, Luiz Gabardo Junior
209,Botafogo de Futebol e Regatas, Enderson Moreira
210,Botafogo FC, Argélico Fucks
211,CA Bragantino, Maurício Barbieri
212,Ceará SC, Tiago Nunes
213,Centro Sportivo Alagoano, Mozart Batista
214,Club Athletico Paranaense, Alberto Valentim
215,Clube Atlético Mineiro, Cuca
216,Clube do Remo, Felipe Conceição
217,Clube Náutico Capibaribe, Hélio dos Anjos
218,Coritiba FC, Gustavo Morínigo
219,CR Brasil, Allan Rodrigo Aal
220,CR Flamengo, Renato Gaúcho
221,CR Vasco da Gama, Lisca
222,Criciúma Esporte Clube, Paulo Baier
223,Cruzeiro Esporte Clube, Vanderlei Luxemburgo
224,Cuiabá Esporte Clube, Luiz Fernando Iubel
225,Esporte Clube Bahia, Guto Ferreira
226,Esporte Clube Juventude, Jair Ventura
227,Esporte Clube São Bento, Edson Vieira
228,Esporte Clube Vitória, Wagner Lopes
229,Figueirense FC, Jorginho
230,Fluminense FC, Roger Machado
231,Fortaleza Esporte Clube, Juan Pablo Vojvoda
232,Goiás Esporte Clube, Marcelo Cabo
233,Grêmio Esportivo Brasil, Jerson Testoni
234,Grêmio Foot-Ball Porto Alegrense, Vágner Mancini
235,Guarani FC, Daniel Paulista
236,Joinville Esporte Clube, Fábio José dos Santos
237,Londrina Esporte Clube, Márcio Fernandes
238,Luverdense Esporte Clube, Raul Cabral
239,Macaé Esporte FC, Dário Lourenço
240,Oeste FC, Roberto Cavalo
241,Operário Ferroviário Esporte Clube, Ricardo Catalá
242,Paraná Clube, Cleverson Maurilio Silva
243,Paysandu SC, Itamar Schülle
244,Sampaio Corrêa FC, Felipe Surian
245,Santos FC, Fábio Carille
246,São Paulo FC, Rogério Ceni
247,SC Corinthians Paulista, Sylvinho
248,Sociedade Esportiva Palmeiras, Abel Ferreira
249,Sport Club do Recife, Gustavo Florentín
250,Sport Club Internacional, Diego Aguirre
251,FC Arda, Georgi Chilikov
252,FC Dunav Ruse, Lyudmil Kirov
253,FC Lokomotiv 1929 Sofia, Ivan Kolev
254,FC Lokomotiv Gorna Oryahovitsa, Milcho Sirmov
255,FC Marek Dupnitsa, Vasil Pavlov
256,FC Minyor Pernik, Hristo Yanev
257,FC NSA Sofia, Silviya Radoyska
258,FC Sportist Svoge, Borislav Kyosev
259,FC Tsarsko Selo Sofia, Luboslav Penev
260,FC Vitosha Bistritsa, Asen Ivanov Bukarev
261,FK CSKA 1948 Sofia, Nikolay Kirov
262,OFC Pirin Blagoevgrad, Warren Feeney
263,OFC Pomorie, Warren Feeney
264,PFC Beroe Stara Zagora, Petar Kolev
265,PFC Botev Plovdiv, Azrudin Valentic
266,PFC Cherno More Varna, Ilian Iliev
267,PFC CSKA Sofia, Stoycho Mladenov
268,PFC Levski Sofia, Stanimir Stoilov
269,PFC Litex Lovech, Zhivko Zhelev
270,PFC Lokomotiv Plovdiv, Aleksander Tunchev
271,PFC Ludogorets Razgrad, Valdas Dambrauskas
272,PFC Neftochimic Burgas, Diyan Petkov
273,PFC Septemvri Sofia, Milen Radukanov
274,PFC Slavia Sofia, Zlatomir Zagorčić
275,PFC Vereya, Ivan Vutov
276,POFC Botev Vratsa, Daniel Morales
277,SFC Etar Veliko Tarnovo, Veselin Velikov
278,Atlético Ottawa, Mista
279,Cavalry FC, Tommy Wheeldon
280,Club de Foot Montréal, Wilfried Nancy
281,FC Edmonton, Alan Koch
282,Forge FC, Bobby Smyrniotis
283,HFX Wanderers FC, Stephen Hart
284,Ottawa Fury FC, Nikola Popovic
285,Pacific FC, Pa-Modou Kah
