,pays,nombreDeClubs,lienDesClubs
0,Albania,16,https://fbref.com/fr/pays/clubs/ALB/Clubs-de-football-de-Albania
1,Andorra,10,https://fbref.com/fr/pays/clubs/AND/Clubs-de-football-de-Andorra
2,Antigua and Barbuda,1,https://fbref.com/fr/pays/clubs/ATG/Clubs-de-football-de-Antigua-and-Barbuda
3,Argentina,37,https://fbref.com/fr/pays/clubs/ARG/Clubs-de-football-de-Argentina
4,Armenia,15,https://fbref.com/fr/pays/clubs/ARM/Clubs-de-football-de-Armenia
5,Australia,22,https://fbref.com/fr/pays/clubs/AUS/Clubs-de-football-de-Australia
6,Austria,30,https://fbref.com/fr/pays/clubs/AUT/Clubs-de-football-de-Austria
7,Azerbaijan,18,https://fbref.com/fr/pays/clubs/AZE/Clubs-de-football-de-Azerbaijan
8,Belarus,17,https://fbref.com/fr/pays/clubs/BLR/Clubs-de-football-de-Belarus
9,Belgium,52,https://fbref.com/fr/pays/clubs/BEL/Clubs-de-football-de-Belgium
10,Bolivia,25,https://fbref.com/fr/pays/clubs/BOL/Clubs-de-football-de-Bolivia
11,Bosnia and Herzegovina,17,https://fbref.com/fr/pays/clubs/BIH/Clubs-de-football-de-Bosnia-and-Herzegovina
12,Brazil,59,https://fbref.com/fr/pays/clubs/BRA/Clubs-de-football-de-Brazil
13,Bulgaria,43,https://fbref.com/fr/pays/clubs/BUL/Clubs-de-football-de-Bulgaria
14,Canada,20,https://fbref.com/fr/pays/clubs/CAN/Clubs-de-football-de-Canada
15,Chile,25,https://fbref.com/fr/pays/clubs/CHI/Clubs-de-football-de-Chile
16,China PR,25,https://fbref.com/fr/pays/clubs/CHN/Clubs-de-football-de-China-PR
17,Colombia,28,https://fbref.com/fr/pays/clubs/COL/Clubs-de-football-de-Colombia
18,Croatia,26,https://fbref.com/fr/pays/clubs/CRO/Clubs-de-football-de-Croatia
19,Cyprus,12,https://fbref.com/fr/pays/clubs/CYP/Clubs-de-football-de-Cyprus
20,Czech Republic,31,https://fbref.com/fr/pays/clubs/CZE/Clubs-de-football-de-Czech-Republic
21,Denmark,27,https://fbref.com/fr/pays/clubs/DEN/Clubs-de-football-de-Denmark
